,3,6,8,7,4,4,6,4,4,5,4,6,5,8,3,4,3,3,4,6,0.485
1043402,5,5,3,6,6,7,3,5,6,5,7,7,7,6,9,5,4,3,8,5,0.595
1043403,4,4,4,4,4,2,6,5,7,4,4,4,5,5,5,9,5,4,5,8,0.49
1043404,5,5,9,4,4,3,5,5,6,5,5,4,3,7,6,10,4,4,4,4,0.55
1043405,8,9,7,4,2,6,3,4,3,4,5,8,8,7,4,10,6,5,1,3,0.57
1043406,5,4,4,4,7,5,3,3,3,5,8,7,5,6,3,2,2,6,5,3,0.43
1043407,8,3,7,5,5,7,6,5,8,4,10,5,5,8,4,8,5,5,8,8,0.645
1043408,6,8,6,3,6,5,8,5,6,5,6,7,6,6,7,6,4,7,5,4,0.6
1043409,4,2,5,3,3,5,5,5,5,4,6,5,10,4,2,6,9,5,5,3,0.465
1043410,3,8,8,5,6,6,6,3,6,4,8,4,4,2,3,4,5,3,5,3,0.48
1043413,5,5,6,5,3,5,4,3,3,6,8,5,4,6,4,7,7,3,9,2,0.53
1043414,6,9,4,7,4,6,4,7,5,6,8,4,6,5,6,3,5,7,8,6,0.59
1043415,7,6,2,7,7,1,4,6,4,4,5,4,7,4,4,7,2,1,9,2,0.46
1043416,6,4,4,3,8,9,7,10,2,1,4,6,8,8,6,4,5,4,3,5,0.56
1043417,9,4,4,7,5,4,9,2,5,6,9,9,4,4,6,5,4,5,4,6,0.565
1043418,3,6,5,6,9,7,4,8,6,6,4,2,5,3,6,4,7,8,2,2,0.52
1043420,5,7,6,5,5,9,3,6,3,8,5,2,4,4,4,8,4,7,4,7,0.555
1043421,1,4,6,6,4,6,5,6,6,4,5,4,10,6,8,4,9,5,3,8,0.56
1043424,6,3,4,4,8,5,2,8,1,4,7,5,5,5,5,3,5,5,5,8,0.5
1043428,6,5,3,3,4,6,8,3,6,2,6,5,3,5,4,6,5,4,6,4,0.445
1043429,7,3,8,5,4,0,2,2,5,8,6,3,2,6,4,7,7,3,7,6,0.52
1043430,8,5,7,4,5,4,5,8,3,8,6,6,5,8,7,7,7,7,8,8,0.64
1043432,6,6,8,6,5,7,5,5,5,5,5,4,4,5,4,5,2,5,8,7,0.545
1043433,7,7,2,4,6,3,4,3,4,7,5,7,1,2,5,7,4,2,2,4,0.43
1043434,8,9,1,1,3,2,8,10,4,6,7,8,4,6,5,7,2,7,6,8,0.59
1043435,3,3,4,6,10,3,3,3,9,3,3,5,3,6,6,3,7,7,7,7,0.54
1043436,6,4,6,3,5,4,7,6,5,5,7,8,9,6,4,4,4,5,4,9,0.585
1043437,3,5,4,3,7,2,9,3,6,5,6,2,4,6,3,8,6,6,6,4,0.485
1043438,5,5,5,5,6,2,8,4,4,3,6,6,7,6,1,6,4,1,8,7,0.52
1043439,3,5,5,4,2,2,9,5,7,6,8,4,8,3,5,7,4,7,4,4,0.51
1043442,4,8,6,7,6,2,8,8,6,1,5,4,4,5,8,6,4,2,2,5,0.54
1043443,3,4,6,9,9,10,5,9,1,7,3,2,2,4,5,9,8,2,3,3,0.55
1043444,2,2,7,3,8,6,2,6,4,5,5,3,9,8,5,3,3,4,9,3,0.475
1043446,5,2,5,6,4,2,7,6,7,7,3,5,3,7,6,6,8,6,5,3,0.52
1043447,4,5,9,5,3,4,2,6,4,4,3,5,6,3,7,5,6,3,4,3,0.455
1043448,9,1,8,7,3,8,4,3,1,9,7,2,3,3,6,5,4,2,5,3,0.48
1043449,1,5,4,4,3,4,3,6,5,3,6,3,5,3,8,4,5,3,5,4,0.42
1043450,6,10,5,4,3,7,6,2,5,4,5,6,3,5,4,5,4,4,5,2,0.46
1043451,3,6,8,3,7,5,5,4,6,5,5,1,4,6,8,1,3,4,4,6,0.47
1043452,6,1,7,7,0,2,4,3,5,8,2,2,2,0,3,6,1,2,4,7,0.415
1043454,3,2,3,3,4,8,3,7,8,4,6,6,2,4,5,4,8,8,4,5,0.49
1043455,4,6,5,3,3,2,9,4,4,4,4,5,5,4,7,5,3,7,3,5,0.435
1043456,4,3,7,6,3,4,5,6,4,7,4,5,3,4,3,4,5,7,3,9,0.465
1043457,6,6,6,4,3,7,8,7,6,6,6,3,6,2,5,3,4,9,2,6,0.545
1043458,3,7,5,4,6,6,6,3,4,7,2,5,6,8,5,3,6,7,4,4,0.505
1043459,6,2,4,5,4,2,4,6,5,5,4,3,4,4,9,3,5,2,7,5,0.45
1043461,5,5,7,9,5,6,3,4,4,6,5,4,6,8,5,5,4,6,6,5,0.565
